RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215 
Defeat,IS-3-II,Type 5 Chi-Ri,IS-3,50TP prototyp,Cz20_ShPTK_TVP_100_mm,Waffenträger auf Pz. IV,50TP Tyszkiewicza,Super Hellcat,KV-3,Indien-Panzer,Tiger I,M41 Walker Bulldog,Panhard AML Lynx 6x6,SU-100M1,Ikv 90 Typ B,Type 4 Heavy,Rheinmetall Skorpion G,T30,Lorraine 40 t,TNH T Vz. 51,Tiger I,Panhard EBR 75 (FL 10),WZ-111 Alpine Tiger,T26E5 Patriot,Krupp-Steyr Waffenträger,Challenger,VK 30.02 (D),Super Hellcat,HWK 12,T29
Victory,Leopard 1,TNH T Vz. 51,Оbject 279,Chrysler K,Object 268 Version 4,Bat.-Châtillon Bourrasque,UDES 03,GSOR 1008,Jagdpanzer E 100,Waffenträger auf Pz. IV,LT-432,STG,M53/M55,Bat.-Châtillon 25 t AP,ELC EVEN 90,Cobra,STB-1,IS-3A,Charioteer,ELC EVEN 90,Kampfpanzer 50 t,Mäuschen,E 100,Bat.-Châtillon 155 55,Bat.-Châtillon 12 t,AMX 50 Foch (155),FV4005 Stage II,Škoda T 27,Rhm.-Borsig Waffenträger,Progetto M35 mod 46
Victory,T-50-2,T-150,T-34-85,Grille,25TP KSUST II,M24 Chaffee,VK 30.01 (H),VK 30.01 (H),T-28E with F-30,M10 Wolverine,M8A1,T6 Medium,M5 Stuart,M5 Stuart,Sav m/43,T-50-2,Bretagne Panther,Pz.Kpfw. T 25,Churchill VII,M8A1,T-28,Pz.Kpfw. IV hydrostat.,StuG III Ausf. G,VK 30.01 (H),AMX ELC bis,Grille,M5 Stuart,Cruiser Mk. IV,M5 Stuart,Jagdpanzer 38(t) Hetzer
Defeat,TNH T Vz. 51,50TP Tyszkiewicza,Grille 15,Progetto M35 mod 46,AE Phase I,IS-4,122 TM,M-VI-Y,Cobra,UDES 14 Alt 5,Charioteer,Object 261,T30,ELC EVEN 90,IS-M,Concept 1B,Kunze Panzer,IS-3-II,AMX 50 Foch (155),SU-130PM,Progetto M35 mod 46,E 75,Object 261,ELC EVEN 90,Strv S1,T 55A,Centurion Mk. I,E 100,Conqueror,VK 100.01 (P)
Victory,Löwe,Kanonenjagdpanzer 105,Type 58,"VK 28.01 mit 10,5 cm L/28",M56 Scorpion,Vz. 44-1,Type 59,Super Hellcat,T29,Super Hellcat,T37,Hotchkiss EBR,WZ-131G FT,VK 30.02 (M),T-34-85M,ISU-152,Caernarvon,Panther,STG Guard,Super Hellcat,VK 30.02 (M),E 25,M6,B.U.G.I.,"VK 28.01 mit 10,5 cm L/28",M18 Hellcat,T-50-2,Super Hellcat,Hotchkiss EBR,Tiger I
Victory,Škoda T 25,Tiger I,Cromwell,Tiger I,M44,T-34-85,KV-1S,P.43 bis,T28 Concept,Sturer Emil,Cromwell B,P.43 ter,M24E2 Super Chaffee,M18 Hellcat,Churchill VII,SU-100M1,B.U.G.I.,KV-2,Tiger I,Leo,M44,T37,T29,Cromwell B,T-34-85M,Strv 74,AT 15A,Škoda T 25,Churchill VII,SU-100
Defeat,T95/FV4201 Chieftain,Grille 15,Conqueror Gun Carriage,AMX 50 Foch (155),T110E4,STB-1,IS-7,M60,E 100,STB-1,Object 140,E 100,AMX 13 105,Kranvagn,M48A5 Patton,FV4005 Stage II,TVP T 50/51,T110E3,Strv 103B,Object 260,IS-7,T-62A,E 100,Manticore,Kranvagn,60TP Lewandowskiego,Rinoceronte,Object 430U,T92 HMC,STB-1
Defeat,CS-59,Super Conqueror,E 100,E 100,Tortoise,T-100 LT,T-10,FV3805,Emil II,Leopard 1,AE Phase I,XM551 Sheridan,Char Futur 4,M103,G.W. E 100,Object 704,Object 277,XM551 Sheridan,T-100 LT,Vz. 55,Emil II,E 100,TVP T 50/51,Type 61,M103,Object 261,M-VI-Y,Object 430,212A,E 75
Victory,Carro d'assalto P.88,Type 62,T29,IS-2 Armored,ARL 44,Strv m/42-57 Alt A.2,T78,CS-44,Škoda T 25,VK 30.01 (P),AMX 13 F3 AM,Object 244,SU-100Y,45TP Habicha,IS-2,AMX 13 57,Sturer Emil,M-II-Y,M18 Hellcat,VK 30.01 (P),FV304,Škoda T 25,Heavy Tank No. VI,Cromwell,KV-1S,T-34-85
Defeat,FV217 Badger,Kranvagn,E 100,Grille 15,Bat.-Châtillon 25 t AP,E 100,E 75,Kunze Panzer,WZ-114,STB-1,Object 257,T95,STB-1,WZ-111 model 1-4,T-54,Object 780,Leopard Prototyp A,E 100,Strv 103B,T95,Object 430,STB-1,Object 777 Version II,STB-1,Vz. 55,T110E4,E 75,T 55A,Progetto C50 mod. 66,50TP Tyszkiewicza
Victory,STB-1,T110E4,G.W. Tiger,Kranvagn,Kunze Panzer,Char Futur 4,T69,Tortoise,GSOR 1008,Caernarvon Action X,Rheinmetall Skorpion G,121B,Rheinmetall Skorpion,VK 168.01 (P),IS-3,E 100,CS-52,Cz20_ShPTK_TVP_100_mm,Progetto CC55 mod. 54,T30,M53/M55,Char Futur 4,Cz20_ShPTK_TVP_100_mm,M54 Renegade,ISU-152,Conqueror,Leopard 1,Progetto M40 mod. 65,FV4005 Stage II,CS-53
Victory,Object 777 Version II,E 100,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,STB-1,AE Phase I,Char Futur 4,Bat.-Châtillon Bourrasque,Emil I,T110E4,ELC EVEN 90,Škoda T 50,Chrysler K,Type 61,Spähpanzer Ru 251,E 100,Leopard 1,Bat.-Châtillon 25 t AP,Ferdinand,Bat.-Châtillon Bourrasque,Škoda T 50,ISU-152,M54 Renegade,M-VI-Y,E 75,T49,T-44,Strv 103B,Object 777 Version II,LT-432
Victory,Object 416,ISU-152,T26E5 Patriot,Bisonte C45,Jagdpanther,Tiger I,T29,SU-130PM,Lorraine 155 mle. 50,E 25,T-34-1,T-43,Super Hellcat,O-Ni,Panther/M10,T26E3 Eagle 7,Rheinmetall Skorpion G,Super Hellcat,Type 59,Krupp-Steyr Waffenträger,Tiger I,KV-4 Kreslavskiy,Konštrukta T-34/100,AMX AC mle. 46,Progetto CC55 mod. 54,M12,Panther,Ferdinand,M-II-Y,VK 45.03
Victory,T-34-3,Rhm.-Borsig Waffenträger,VK 100.01 (P),Škoda T 56,Progetto CC55 mod. 54,T-44-100,IS-6,Ferdinand,T42,Rheinmetall Skorpion G,Type 59,Cz20_ShPTK_TVP_100_mm,ELC EVEN 90,T26E4 SuperPershing,Charioteer,IS-6 B,Löwe,Emil I,LT-432,T-54 first prototype,T26E4 SuperPershing,STG,Progetto M35 mod 46,TS-5,Cz20_ShPTK_TVP_100_mm,Type 59,ASTRON Rex 105 mm,Rheinmetall Skorpion,VK 100.01 (P),Rhm.-Borsig Waffenträger
Victory,Progetto M35 mod 46,Škoda T 56,Cz20_ShPTK_TVP_100_mm,Object 703 II,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,Rheinmetall Skorpion G,Tiger II,ELC EVEN 90,AMX M4 mle. 49 Liberté,ELC EVEN 90,50TP prototyp,T32,Lorraine 155 mle. 51,M41 Walker Bulldog,Cz20_ShPTK_TVP_100_mm,Caernarvon Action X,LT-432,Chrysler K,Bat.-Châtillon Bourrasque,leKpz M 41 90 mm GF,ASTRON Rex 105 mm,KV-4,Löwe,TNH 105/1000,SU-14-2,ELC EVEN 90,Kanonenjagdpanzer 105,SU-130PM,IS-3
Defeat,Object 430U,E 50 Ausf. M,Object 430U,T110E3,TVP T 50/51,STB-1,AMX 50 Foch (155),T95/FV4201 Chieftain,FV4005 Stage II,E 100,T-62A,STB-1,TVP T 50/51,T-100 LT,Panhard EBR 105,AMX 50 B,E 100,STB-1,Object 140,TVP T 50/51,UDES 15/16,Progetto M40 mod. 65,STB-1,Panhard EBR 105,Object 907,Jagdpanzer E 100,T110E4,Grille 15,STB-1,AMX 13 105
Victory,King Tiger,T25 AT,Object 252U,UDES 03,M18 Hellcat,S-51,SU-100,King Tiger,M4A3E2 Sherman Jumbo,VK 36.01 (H),Object 252U Defender,Strv m/42-57 Alt A.2,Hotchkiss EBR,T29,M4A3E8 Thunderbolt VII,Cz20_ShPTK_TVP_100_mm,G.W. Panther,M18 Hellcat,O-Ni,Panther/M10,O-Ni,Hotchkiss EBR,Jagdpanther,FCM 50 t,T34,Škoda T 40,ARL 44,Jagdpanzer IV,KV-85,T-34-85M
Victory,King Tiger,Rheinmetall Skorpion,M54 Renegade,King Tiger,T28 Prototype,AMX 13 57,Sherman VC Firefly,T-50-2,M36 Jackson,Tiger I,LTG,T-50-2,SU-8,Krupp-Steyr Waffenträger,Ikv 65 Alt II,Rheinmetall Skorpion G,WZ-120-1G FT,Panther,Löwe,Tiger I,AMX 13 75,M56 Scorpion,M44,T37,LTG,AT 8,M4A3E8 Sherman,T-50-2,T29,KV-2
Victory,IS-7,T95/FV4201 Chieftain,STB-1,STB-1,T-22 medium,E 100,Centurion Action X,Object 268 Version 4,E 50 Ausf. M,E 100,Strv 103B,Object 277,AMX 50 Foch (155),FV215b (183),Object 140,UDES 15/16,E 50 Ausf. M,E 100,AMX 50 Foch (155),Super Conqueror,Grille 15,T110E4,IS-7,E 100,Jagdpanzer E 100,IS-7,Object 430U,Leopard 1,Bat.-Châtillon 25 t,FV4005 Stage II
Defeat,T-34-85 Rudy,T-34-85M,VK 30.02 (M),Cavalier,T1 Heavy Tank,StuG III Ausf. G,T-34-85,105 leFH18B2,VK 30.01 (P),Churchill I,Type 3 Chi-Nu,B.U.G.I.,P.43,M24 Chaffee,Grille,M10 Wolverine,P.43 bis,BDR G1 B,KV-1,AC 4 Experimental,VK 30.01 (H),Cromwell,M24 Chaffee,T-150,Ram II,Pz.Kpfw. IV Ausf. H,Strv m/42-57 Alt A.2,T-34-85,Grille,105 leFH18B2
Victory,Progetto C50 mod. 66,TNH T Vz. 51,T28 Prototype,AMX 30 1er prototype,Tiger I,Tiger I,AMX 13 57,AMX 13 90,Ikv 90 Typ B,Panzer 58 Mutz,O-Ni,IS-3,M12,Panther,WZ-111,Object 777 Version II,GSOR 1008,KV-5,UDES 16,Tiger I,Tiger I,AMX 13 57 GF,Caernarvon,M12,T49,Progetto C50 mod. 66,CS-44,Super Hellcat,Tiger I,T26E4 SuperPershing
Victory,Tiger I,Carro d'assalto P.88,Jagdpanther,Spähpanzer SP I C,Progetto M35 mod 46,M44,AT 8,KV-13,Strv m/42-57 Alt A.2,ISU-152,Hummel,KV-1S,Tiger II,Rhm.-Borsig Waffenträger,Dicker Max,T26E5 Patriot,M56 Scorpion,T-44,ISU-152,FV304,SU-8,Super Hellcat,Tiger I,Ferdinand,AT 8,Cromwell B,M4A3E8 Sherman,T71 CMCD,T29,KV-2
Victory,Nashorn,T-34-85M,Dicker Max,105 leFH18B2,Excelsior,Heavy Tank No. VI,M10 RBFM,Grille,Tiger 131,M10 RBFM,M10 RBFM,KV-1,Type 3 Chi-Nu,Type 58,ARL V39,105 leFH18B2,M10 RBFM,KV-2,M36 Jackson,M10 RBFM,M10 Wolverine,SU-122A,T-34-85,SU-100,KV-1,M18 Hellcat,P.43 bis,VK 36.01 (H),Pz.Kpfw. IV Ausf. H,O-I Experimental
Victory,Leo,IS-2 Armored,KV-2,Super Hellcat,O-I,Škoda T 25,Škoda T 25,T-34-85M,VK 28.01,E 25,M6,M12,T25/2,AT 8,AC 4 Experimental,Škoda T 25,Tiger I,Sherman VC Firefly,Lorraine 155 mle. 50,T-34-85M,KV-3,SU-100M1,M18 Hellcat,Sherman Firefly,AMX 12 t,Škoda T 25,Pawlack Tank,Super Hellcat,Super Hellcat,VK 30.01 (P)
Defeat,E 50,Progetto C50 mod. 66,Char Futur 4,Škoda T 50,Progetto M35 mod 46,ISU-152,WZ-120-1G FT,Tiger II,ELC EVEN 90,Cz20_ShPTK_TVP_100_mm,UDES 03,53TP Markowskiego,T-54,TNH T Vz. 51,Panhard EBR 90,Tortoise,Char Futur 4,Cz20_ShPTK_TVP_100_mm,Progetto M35 mod 46,Char Futur 4,SU-130PM,STG Guard,GSOR 1008,IS-3,T-10,LHMTV,50TP Tyszkiewicza,Emil I,E 50,Panhard EBR 90
Victory,AMX M4 mle. 49 Liberté,TS-5,VK 36.01 (H),Tiger I,Rheinmetall Skorpion,Leo,Object 244,KV-3,T28 Concept,Sherman VC Firefly,Sturer Emil,VK 30.02 (M),AMX 12 t,AMX 50 100,T-34-85,FCM 50 t,T25/2,Bisonte C45,ISU-152,Leo,T-50-2,T-34-85M,Ferdinand,O-I,Tiger I,KV-2,Leo,Krupp-Steyr Waffenträger,VK 36.01 (H),Pudel
Victory,T49,FV215b (183),Char Futur 4,Object 257,Object 261,TNH T Vz. 51,E 100,Conqueror Gun Carriage,Object 263,T30,Prototipo Standard B,Object 430U,ST-II,Cobra,Emil II,Char Futur 4,Centurion Action X,E 100,Object 277,WZ-111G FT,TNH T Vz. 51,Bat.-Châtillon 155 58,Progetto C50 mod. 66,T95,Type 61,T92 HMC,Char Futur 4,WZ-111 model 1-4,AMX 50 Foch (155),GSOR3301 AVR FS
Victory,STB-1,Vz. 55,Jagdpanzer E 100,Kranvagn,Maus,121B,Object 140,STB-1,FV217 Badger,T110E3,T110E5,E 100,Bat.-Châtillon 155 58,Object 268 Version 4,Object 430U,Leopard 1,FV4005 Stage II,Kranvagn,Maus,E 100,Object 268 Version 4,E 100,T110E4,Strv 103B,STB-1,G.W. E 100,Object 277,Progetto M40 mod. 65,Object 430U,Centurion Action X
Victory,Lorraine 155 mle. 51,Škoda T 50,T95,Charioteer,Progetto C50 mod. 66,VK 100.01 (P),M-III-Y,Rhm.-Borsig Waffenträger,SU-130PM,Löwe,Kampfpanzer 07 RH,T49,Caernarvon,T92,Object 416,Leopard Prototyp A,Object 257,ELC EVEN 90,Löwe,TS-5,T-44-100,T32,M40/M43,Rhm.-Borsig Waffenträger,Rheinmetall Skorpion G,Type 59,E 75,T77,T49,T-103
Defeat,O-I,Cz20_ShPTK_TVP_100_mm,Škoda T 56,Progetto M35 mod 46,Hummel,Löwe,45TP Habicha,WZ-131G FT,SU-100,"VK 28.01 mit 10,5 cm L/28",G.W. Panther,Type 4 Chi-To,Škoda T 25,KV-13,Nashorn,Tiger II,Rheinmetall Skorpion,M56 Scorpion,SU-100,M44,Object 416,T37,T-34-85,Type 5 Chi-Ri,T78,S-51,Löwe,M4A3E8 Thunderbolt VII,M4A3E8 Thunderbolt VII,Churchill VII
Victory,Churchill VII,FV304,T-34-85M,105 leFH18B2,Pz.Kpfw. IV Ausf. H,T6 Medium,M4 Sherman,Ikv 103,SU-85B,Matilda,Pz.Kpfw. III Ausf. J,KV-220-2,BT-7,Pz.Kpfw. III Ausf. J,M10 RBFM,O-I,Sherman VC Firefly,Matilda Black Prince,T14,StuG IV,AMX 13 105 AM mle. 50,Pz.Kpfw. III Ausf. J,FV304,VK 30.01 (H),ST vz. 39,Pz.Kpfw. 38 (t) n.A.,Pz.Kpfw. III Ausf. J,M10 RBFM,T6 Medium,Marder 38T
Defeat,Tiger II,Bat.-Châtillon Bourrasque,Indien-Panzer,Lorraine 155 mle. 51,Bat.-Châtillon Bourrasque,Progetto M35 mod 46,Udarniy,Ferdinand,T-44-100,Centurion Mk. I,Cz20_ShPTK_TVP_100_mm,AMX 65 t,CS-53,ELC EVEN 90,ELC EVEN 90,Bat.-Châtillon Bourrasque,GSOR 1008,Chrysler K,Object 416,Lorraine 40 t,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,Škoda T 56,Lansen C,M40/M43,Tiger II,AMX Chasseur de chars,leKpz M 41 90 mm GF,ELC EVEN 90,T26E5 Patriot
Victory,Rinoceronte,Škoda T 27,Kanonenjagdpanzer 105,G.W. Tiger (P),GSOR 1008,Object 430U,Škoda T 50,Cz20_ShPTK_TVP_100_mm,Object 263,Caliban,AMX 50 120,STB-1,Grille 15,E 75,Škoda T 56,T110E3,Kranvagn,Char Futur 4,Object 430U,Škoda T 56,M40/M43,AE Phase I,SU-130PM,P.44 Pantera,Cz20_ShPTK_TVP_100_mm,STB-1,E 75 TS,Progetto C50 mod. 66,Strv 103-0,ISU-152
Victory,E 100,T110E3,TVP T 50/51,Centurion Action X,T110E4,121B,Leopard 1,M48A5 Patton,T110E5,AMX 13 105,Bat.-Châtillon 25 t,Kranvagn,Jagdpanzer E 100,Bat.-Châtillon 155 58,Object 261,Object 277,AMX 50 Foch (155),Kranvagn,FV4005 Stage II,M60,STB-1,Object 261,Bat.-Châtillon 25 t,T92 HMC,Leopard 1,TVP T 50/51,AMX 13 105,E 100,Object 430U,Strv 103B
Victory,STB-1,Conqueror Gun Carriage,Object 261,T57 Heavy Tank,FV215b (183),Kranvagn,Panhard EBR 105,T110E4,Object 430U,Leopard 1,FV215b,T92 HMC,Manticore,AMX 50 Foch (155),Strv 103B,Kranvagn,FV217 Badger,Jagdpanzer E 100,AMX 13 105,T92 HMC,Bat.-Châtillon 155 58,Vz. 55,T92 HMC,Kranvagn,AMX 50 Foch (155),STB-1,STB-1,Grille 15,Panhard EBR 105,Bat.-Châtillon 25 t
Victory,AMX 13 105,E 100,FV4005 Stage II,60TP Lewandowskiego,WZ-113G FT,Object 268 Version 4,FV4005 Stage II,IS-7,STB-1,Object 430U,Object 260,Bat.-Châtillon 155 58,STB-1,E 50 Ausf. M,FV4005 Stage II,FV4005 Stage II,60TP Lewandowskiego,Vz. 55,Object 430U,Jagdpanzer E 100,T-22 medium,T92 HMC,Object 140,AMX 50 Foch (155),Rinoceronte,T110E4,Object 268 Version 4,T-100 LT,E 50 Ausf. M,Object 705A
Victory,STB-1,T110E4,T-62A,FV4005 Stage II,Manticore,E 100,Object 261,Panhard EBR 105,STB-1,T110E5,Jagdpanzer E 100,E 100,TVP T 50/51,Object 277,FV4005 Stage II,Vz. 55,T110E5,Conqueror Gun Carriage,AMX 50 Foch (155),FV215b (183),E 100,121,E 100,Panhard EBR 105,E 50 Ausf. M,STB-1,WZ-132-1,Leopard 1,FV4005 Stage II,STB-1
Victory,P.44 Pantera,Object 252U Defender,T26E4 SuperPershing,Tiger (P),M18 Hellcat,Super Hellcat,KV-3,Super Hellcat,Vz. 44-1,M4A3E8 Sherman,Cromwell,T-50-2,"VK 28.01 mit 10,5 cm L/28",T-34-85M,Sherman Firefly,Strv 81,Bat.-Châtillon Bourrasque,Škoda T 56,Tiger I,T28 Concept,Super Hellcat,"VK 28.01 mit 10,5 cm L/28",SU-152,P.43 bis,T-34-85,FV201 (A45),M24E2 Super Chaffee,40TP Habicha,T-34-85M,T-150
Victory,M44,Rhm.-Borsig Waffenträger,ASTRON Rex 105 mm,AMX Canon d'assaut 105,Cromwell B,VK 36.01 (H),M18 Hellcat,Vz. 44-1,T-34-85 Rudy,T-43,T71 CMCD,VK 30.01 (P),M18 Hellcat,Panhard AMD 178B,G.W. Tiger (P),STA-1,SU-130PM,Hotchkiss EBR,T-34-85 Rudy,SU-122-44,T29,Rheinmetall Skorpion G,VK 30.01 (P),M36 Jackson,A-43,AMX 13 F3 AM,KV-2,M4A3E8 Sherman,MT-25,SU-14-2
Victory,Object 430,Bat.-Châtillon Bourrasque,Kunze Panzer,Panhard EBR 90,FV215b (183),Cz20_ShPTK_TVP_100_mm,IS-3,Centurion Action X,Mäuschen,Löwe,E 100,E 75,Charioteer,Lorraine 155 mle. 51,121B,E 50 Ausf. M,FV4005 Stage II,Strv S1,E 75,TVP T 50/51,Cobra,E 100,CS-52,53TP Markowskiego,Kunze Panzer,FV207,Progetto M35 mod 46,Panhard EBR 90,T-10,SU-130PM
Victory,ISU-152K,Strv S1,Объект 274а,Tiger I,T-43,LT-432,CS-52,AT 15A,Bat.-Châtillon 12 t,Vz. 44-1,SU-100M1,Carro d'assalto P.88,Panhard AML Lynx 6x6,Super Hellcat,Tiger (P),Rheinmetall Skorpion,TNH 105/1000,Progetto M35 mod 46,T26E4 SuperPershing,Tiger I,Super Hellcat,Jagdpanther,SU-152,Type 5 Chi-Ri,M41D,Carro d'assalto P.88,Panhard EBR 75 (FL 10),ELC EVEN 90,T25/2,Tiger (P)
Victory,AMX 12 t,Ikv 65 Alt II,M4A3E8 Thunderbolt VII,VK 36.01 (H),AMX 12 t,"VK 28.01 mit 10,5 cm L/28",M36 Jackson,VK 30.02 (M),Pawlack Tank,T-50-2,Cromwell B,M4A3E8 Fury,Škoda T 25,Tiger 131,Panhard AMD 178B,VK 36.01 (H),M36 Jackson,Bretagne Panther,SU-100Y,M4A3E8 Sherman,VK 30.02 (M),T-50-2,T37,ARL 44,T-50-2,Panhard AMD 178B,KV-2,T-34-85M,Strv 74,"VK 28.01 mit 10,5 cm L/28"
Victory,Kanonenjagdpanzer 105,T-34-3,Type 64,122 TM,T29,Škoda T 56,Leo,AT 15A,Super Hellcat,VK 30.02 (M),ARL 44,M12,FV304,Nashorn,T-34-85M,SU-130PM,Progetto M35 mod 46,Caernarvon,122 TM,SU-122-44,SU-14-1,Cromwell B,M18 Hellcat,M44,T29,KV-2,T-34-85,Super Hellcat,T-50-2,T20
Victory,Strv S1,Emil I,ELC EVEN 90,CS-52,G.W. Tiger (P),Panther II,M46 Patton KR,Cz20_ShPTK_TVP_100_mm,VK 100.01 (P),T-54 first prototype,Löwe,GSOR 1008,Tiger II,T28 Prototype,Emil I,Tiger II,Bat.-Châtillon Bourrasque,Object 703 II,Tiger II,Strv S1,T-103,M40/M43,AMX Canon d'assaut 105,T77,Progetto M35 mod 46,FV4202,T26E5 Patriot,T26E4 SuperPershing,Rheinmetall Skorpion,LT-432
Victory,AE Phase I,Rhm.-Borsig Waffenträger,ISU-152,T 55A,G.W. Tiger (P),Tortoise,SU-130PM,Cobra,212A,Object 777 Version II,ELC EVEN 90,Lorraine 40 t,Cz20_ShPTK_TVP_100_mm,Progetto CC55 mod. 54,IS-3,Conqueror,Cz20_ShPTK_TVP_100_mm,Jagdtiger,Char Futur 4,Cobra,Ferdinand,IS-6,WZ-111 Alpine Tiger,Strv S1,Rheinmetall Skorpion,M53/M55,Lorraine 155 mle. 51,T-44-100,AE Phase I,Bat.-Châtillon 12 t
Victory,Leopard Prototyp A,T54E1,M103,Cz20_ShPTK_TVP_100_mm,Löwe,Waffenträger auf Pz. IV,Strv S1,M53/M55,Kunze Panzer,STG Guard,Progetto M35 mod 46,Type 61,Rheinmetall Skorpion,Ferdinand,LT-432,Leopard Prototyp A,TL-1 LPC,LTTB,G.W. Tiger,Rheinmetall Skorpion G,Bisonte C45,Jagdtiger,AE Phase I,Strv S1,Cz20_ShPTK_TVP_100_mm,WZ-120,Type 61,T-10,122 TM,Rhm.-Borsig Waffenträger
Victory,Challenger,Jagdpanther,T29,КВ-2 (Р),T-150,P.43 bis,Panhard AMD 178B,SU-100,T-34-85M,M44,Nashorn,VK 36.01 (H),"VK 28.01 mit 10,5 cm L/28",Tiger (P),FV304,Sturer Emil,M-II-Y,T-34-1,Škoda T 25,M44,VK 36.01 (H),Heavy Tank No. VI,T-34-85M,SU-100,Nashorn,M24E2 Super Chaffee,M44,Carro d'assalto P.88,M18 Hellcat,Panhard AMD 178B
Victory,LT-432,Chimera,Progetto M35 mod 46,Rheinmetall Skorpion G,SU-130PM,Bat.-Châtillon 12 t,Löwe,Progetto CC55 mod. 54,P.44 Pantera,M-III-Y,SU-130PM,T28 Prototype,Charioteer,T42,Tiger II,Tiger II,Rheinmetall Skorpion G,Caliban,Bisonte C45,T26E4 SuperPershing,TS-5,Tiger II,Type 59,SU-130PM,T92,Progetto M35 mod 46,Charioteer,Rheinmetall Skorpion,Bat.-Châtillon 12 t,Bat.-Châtillon Bourrasque
Defeat,Panhard EBR 105,Jagdtiger,TVP T 50/51,E 100,CS-63,Waffenträger auf Pz. IV,Progetto M35 mod 46,Emil II,SU-130PM,Caliban,T49,Bat.-Châtillon 155 55,ASTRON Rex 105 mm,E 75 TS,Somua SM,AMX 50 B,Panhard EBR 105,T49,Cobra,TS-5,50TP prototyp,Waffenträger auf Pz. IV,Mäuschen,SU-130PM,FV3805,Udarniy,Progetto M40 mod. 65,CS-52,IS-3,STB-1
Victory,Cobra,AE Phase I,SU-130PM,M54 Renegade,Char Futur 4,EMIL 1951,SU-130PM,Tortoise,Object 703 II,UDES 14 Alt 5,ELC EVEN 90,ELC EVEN 90,T30,T49,212A,Tortoise,Char Futur 4,E 75,UDES 16,M53/M55,IS-2-II,122 TM,M54 Renegade,AMX 13 90,Cz20_ShPTK_TVP_100_mm,M41 Walker Bulldog,SU-130PM,T30,ELC EVEN 90,EMIL 1951
Victory,Cobra,AE Phase I,SU-130PM,M54 Renegade,Char Futur 4,EMIL 1951,SU-130PM,Tortoise,Object 703 II,UDES 14 Alt 5,ELC EVEN 90,ELC EVEN 90,T30,T49,212A,Tortoise,Char Futur 4,E 75,UDES 16,M53/M55,IS-2-II,122 TM,M54 Renegade,AMX 13 90,Cz20_ShPTK_TVP_100_mm,M41 Walker Bulldog,SU-130PM,T30,ELC EVEN 90,EMIL 1951
Defeat,Pz.Kpfw. V/IV,AMX ELC bis,SU-85,StuG III Ausf. B,M41 HMC,Pz.Sfl. IVb,Grille,VK 20.01 (D),Pz.Kpfw. III Ausf. J,M24 Chaffee,BT-7,M4 Sherman,Cruiser Mk. IV,Jagdpanzer 38(t) Hetzer,Matilda,VK 30.01 (H),105 leFH18B2,M4 Sherman,Bishop,VK 16.02 Leopard,M5 Stuart,AMX 105 AM mle. 47,Pz.Kpfw. III Ausf. J,AMX ELC bis,Pz.Kpfw. III Ausf. J,Somua SAu 40,Jagdpanzer 38(t) Hetzer,Matilda,Pz.Kpfw. V/IV,Jagdpanzer 38(t) Hetzer
Victory,T-43,Tiger I,Carro d'assalto P.88,T25/2,Tiger I,SU-8,M18 Hellcat,Type 4 Chi-To,SU-122-44,VK 36.01 (H),T-50-2,FV304,Super Hellcat,Škoda T 25,T-150,Vz. 44-1,Tiger I,Type 58,T25/2,AMX 12 t,T25/2,FV304,Excalibur,M44,ARL 44,Škoda T 25,Tiger I,Jagdpanther,Leo,O-I
Victory,Conqueror,Emil II,T-34-3,AMX 30 1er prototype,Lansen C,Tiger I,T49,Lorraine 155 mle. 50,T25/2,M-II-Y,Super Hellcat,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,Super Hellcat,Caernarvon,Rheinmetall Skorpion G,Progetto M35 mod 46,Škoda T 50,T25 AT,IS-6 B,T-44,Super Hellcat,Lorraine 50 t,M12,Kampfpanzer 07 RH,AE Phase I,T29,T49,IS,ISU-122S
Victory,Kunze Panzer,Jagdpanzer E 100,Char Futur 4,T30,60TP Lewandowskiego,Conqueror,Object 268,M-VI-Y,TVP T 50/51,M46 Patton,Leopard 1,Manticore,Progetto C50 mod. 66,AMX 50 B,E 75,Kranvagn,Оbject 279,Object 140,Char Futur 4,XM551 Sheridan,Object 257,Bat.-Châtillon 25 t,Leopard Prototyp A,AE Phase I,CS-63,Progetto C50 mod. 66,Waffenträger auf Pz. IV,Strv K,T30,FV4005 Stage II
Victory,O-I,Tiger 131,M10 Wolverine,105 leFH18B2,P.43,M18 Hellcat,P.43 bis,DS PZInż,M4A1 FL 10,Excelsior,Pawlack Tank,StuG IV,M44,M4 Sherman,T-34,Type 4 Chi-To,T67,T78,105 leFH18B2,Valiant,M44,Strv m/42,Pawlack Tank,VK 30.01 (P),Strv m/42-57 Alt A.2,Pz.Kpfw. IV Ausf. H,ARL 44,M10 Wolverine,T-34,Churchill III
